Song,Duration,BPM,Sample Rate,RMS,ZCR,Spectral Centroid
Aaya Sher.mp3,287.05,132.51,44100,0.26868,0.04976,2520.15
Yetta Yetta.mp3,205.87,114.84,44100,0.27352,0.05095,2626.68
Sonthamalle.mp3,132.01,147.66,44100,0.26857,0.03076,1690.68
He Is My Dosthi.mp3,255.19,97.51,44100,0.21873,0.03938,2275.69
Rasaa Gummadi.mp3,237.22,139.67,44100,0.27245,0.05722,2827.9
Anaga Anaga America.mp3,244.6,103.36,44100,0.19866,0.04851,2398.62
Chingari.mp3,253.84,114.84,44100,0.20401,0.03646,2266.41
Hello - SenSongsMp3.Co.mp3,213.76,97.51,44100,0.27802,0.0311,2292.93
Merise Merise - SenSongsMp3.Co.mp3,320.6,92.29,44100,0.19012,0.0435,2366.28
Yevevo - SenSongsMp3.Co.mp3,293.46,114.84,44100,0.15418,0.04289,2546.39
Yevevo - SenSongsMp3.Co.mp3,293.46,114.84,44100,0.15418,0.04289,2546.39
Massa Massa.mp3,221.08,139.67,44100,0.27687,0.03661,2291.6
Chikiri Chikiri.mp3,272.48,114.84,44100,0.25238,0.04092,2561.0
